QuadStick Configuration,Version 1.4,https://docs.google.com/a/quadstick.com/spreadsheets/d/1HecQOiDXP5m1MT339oVTZ2yY-NPqeMunW2eJd_PED8o/edit,Mac
Profile Name,,Mouse Mode,
default.csv,,Normal,
Output or Function,Function,usb,
increment_mode,normal,right_sip,
decrement_mode,normal,right_puff,
mouse_left,normal,left,
mouse_right,normal,right,
mouse_up,normal,up,
mouse_down,normal,down,
mouse_wheel_up,normal,
mouse_wheel_down,normal,
mouse_pan_left,normal,
mouse_pan_right,normal,
kb_left_gui,normal,lip,
kb_left_shift,delay_on 1000,lip,
mouse_left_button,normal,mp_center_puff,
mouse_right_button,normal,mp_right_puff,
mouse_middle_button,normal,mp_left_puff,
kb_enter,normal,mp_right_sip,
kb_escape,normal,mp_left_puff_soft,
kb_tab,normal,mp_left_sip,
kb_left_shift,normal,mp_left_center_puff,
kb_left_control,normal,mp_left_center_sip,
kb_backspace,normal,mp_right_puff_soft,
kb_delete,normal,mp_right_sip_soft,
kb_left_gui,normal,mp_center_sip_soft,
kb_x,normal,mp_center_sip_soft,
kb_left_gui,normal,mp_center_sip,
kb_c,normal,mp_center_sip,
kb_left_gui,normal,mp_center_puff_soft,
kb_v,normal,mp_center_puff_soft,
kb_left_alt,normal,mp_left_sip_soft,
kb_z,normal,mp_left_center_sip_soft,
kb_slash,normal,mp_left_center_puff_soft,

Profile Name,,Mouse Mode,
,,Normal,
Output or Function,Function,usb,
increment_mode,normal,right_sip,
decrement_mode,normal,right_puff,
mouse_left,normal,
mouse_right,normal,
mouse_up,normal,
mouse_down,normal,
mouse_wheel_up,normal,up,
mouse_wheel_down,normal,down,
mouse_pan_left,normal,left,
mouse_pan_right,normal,right,
kb_left_gui,normal,lip,
kb_left_shift,delay_on 1000,lip,
mouse_left_button,normal,mp_center_puff,
mouse_right_button,normal,mp_right_puff,
mouse_middle_button,normal,mp_left_puff,
kb_enter,normal,mp_right_sip,
kb_escape,normal,mp_left_puff_soft,
kb_tab,normal,mp_left_sip,
kb_left_shift,normal,mp_left_center_puff,
kb_left_control,normal,mp_left_center_sip,
kb_backspace,normal,mp_right_puff_soft,
kb_delete,normal,mp_right_sip_soft,
kb_left_gui,normal,mp_center_sip_soft,
kb_x,normal,mp_center_sip_soft,
